Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA,2017,Arnaud_Démare,,1991-08-26,Beauvais,304.4430721074666,314.5798695906129
8,2017-07-08,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA,2017,Lilian_Calmejane,Mountain stage,1992-12-06,Albi,438.08355285960727,119.44636410079312
12,2017-07-13,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA,2017,Romain_Bardet,Mountain stage,1990-11-09,Brioude,372.8310225266064,
13,2017-07-14,101.0,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA,2017,Warren_Barguil,Mountain stage,1991-10-28,Hennebont,637.7300810475077,659.7475293320077
18,2017-07-20,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA,2017,Warren_Barguil,Mountain stage,1991-10-28,Hennebont,828.2492913353617,
19,2016-07-22,146.0,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA,2016,Romain_Bardet,Mountain stage,1990-11-09,Brioude,238.8772843551229,
8,2015-07-11,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA,2015,Alexis_Vuillermoz,,1988-06-01,Saint-Claude,602.0871342324808,
18,2015-07-23,186.5,Gap,Saint-Jean-de-Maurienne,High mountain stage,Romain Bardet,FRA,2015,Romain_Bardet,Mountain stage,1990-11-09,Brioude,227.91873441632194,232.21490294774983
20,2015-07-25,110.5,Modane,Alpe d'Huez,High mountain stage,Thibaut Pinot,FRA,2015,Thibaut_Pinot,Mountain stage,1990-05-29,Lure,276.5491393444371,963.220548531941
8,2014-07-12,161.0,Tomblaine,Gérardmer La Mauselaine,Medium mountain stage,Blel Kadri,FRA,2014,Blel_Kadri,Mountain stage,1986-09-03,Bordeaux,671.7182087950641,
11,2014-07-16,187.5,Besançon,Oyonnax,Medium mountain stage,Tony Gallopin,FRA,2014,Tony_Gallopin,Mountain stage,1988-05-24,Dourdan,332.36832337327616,
18,2013-07-18,172.5,Gap,Alpe d'Huez,High mountain stage,Christophe Riblon,FRA,2013,Christophe_Riblon,Mountain stage,1981-01-17,Tremblay-en-France,559.9679596951405,926.7612364489521
8,2012-07-08,157.5,Belfort,Porrentruy,Medium mountain stage,Thibaut Pinot,FRA,2012,Thibaut_Pinot,Mountain stage,1990-05-29,Lure,28.17515611412549,
10,2012-07-11,194.5,Mâcon,Bellegarde-sur-Valserine,High mountain stage,Thomas Voeckler,FRA,2012,Thomas_Voeckler,Mountain stage,1979-06-22,Schiltigheim,337.3035333361392,
11,2012-07-12,148.0,Albertville,La Toussuire-Les Sybelles,High mountain stage,Pierre Rolland,FRA,2012,Pierre_Rolland,Mountain stage,,,,
15,2012-07-16,158.5,Samatan,Pau,Flat stage,Pierrick Fédrigo,FRA,2012,Pierrick_Fédrigo,,1978-11-30,Marmande,127.71933535369806,140.56872657998326
16,2012-07-18,197.0,Pau,Bagnères-de-Luchon,High mountain stage,Thomas Voeckler,FRA,2012,Thomas_Voeckler,Mountain stage,1979-06-22,Schiltigheim,861.820342213732,852.6065605726449
19,2011-07-22,109.5,Modane,Alpe d'Huez,High mountain stage,Pierre Rolland,FRA,2011,Pierre_Rolland,Mountain stage,,,,
2,2010-07-05,201.0,Brussels,Spa,Flat stage,Sylvain Chavanel,FRA,2010,Sylvain_Chavanel,,1979-06-30,Châtellerault,527.8294488007225,565.7386561570191
7,2010-07-10,165.5,Tournus,Station des Rousses,Medium mountain stage,Sylvain Chavanel,FRA,2010,Sylvain_Chavanel,Mountain stage,1979-06-30,Châtellerault,335.1787340442663,375.13383484675165
9,2010-07-13,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage,Sandy Casar,FRA,2010,Sandy_Casar,,1979-02-02,Mantes-la-Jolie,491.04390973777197,541.7504692020158
14,2010-07-18,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA,2010,Christophe_Riblon,,1981-01-17,Tremblay-en-France,1842.2018973200911,
15,2010-07-19,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA,2010,Thomas_Voeckler,,1979-06-22,Schiltigheim,773.8755023284091,852.6065605726449
16,2010-07-20,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA,2010,Pierrick_Fédrigo,,1978-11-30,Marmande,193.05758109386477,140.56872657998326
5,2009-07-08,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA,2009,Thomas_Voeckler,,1979-06-22,Schiltigheim,676.2033158214773,757.2640808755664
7,2009-07-10,224.0,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA,2009,Brice_Feillu,,1985-07-26,Châteaudun,746.1633119907024,
9,2009-07-12,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA,2009,Pierrick_Fédrigo,,1978-11-30,Marmande,161.2123144934203,141.05007462280452
16,2009-07-21,159.0,Martigny,Bourg-Saint-Maurice,Mountain Stage,Sandy Casar,FRA,2009,Sandy_Casar,Mountain stage,1979-02-02,Mantes-la-Jolie,200.6962631879072,535.1123028933137
3,2008-07-07,208.0,Saint-Malo,Nantes,Flat stage,Samuel Dumoulin,FRA,2008,Samuel_Dumoulin,,1980-08-20,Vénissieux,617.8838141026713,522.6120694918011
16,2008-07-22,157.0,Cuneo,Jausiers,Mountain stage,Cyril Dessel,FRA,2008,Cyril_Dessel,,1974-11-29,Rive-de-Gier,260.5263084045875,
19,2008-07-25,165.5,Roanne,Montluçon,Flat stage,Sylvain Chavanel,FRA,2008,Sylvain_Chavanel,,1979-06-30,Châtellerault,284.7292529696663,166.66529242999545
10,2007-07-18,229.5,Tallard,Marseille,Plain stage,Cédric Vasseur,FRA,2007,Cédric_Vasseur,Flat stage,1970-08-18,Hazebrouck,744.3224740749062,853.0921230189301
18,2007-07-27,211.0,Cahors,Angoulême,Plain stage,Sandy Casar,FRA,2007,Sandy_Casar,Flat stage,1979-02-02,Mantes-la-Jolie,505.101904934271,389.284067974956
1,2006-07-02,184.5,Strasbourg,Strasbourg,Flat stage,Jimmy Casper,FRA,2006,Jimmy_Casper,,1978-05-28,Montdidier,396.08905557977965,396.08905557977965
8,2006-07-09,181.0,Saint-Méen-le-Grand,Lorient,Flat stage,Sylvain Calzati,FRA,2006,Sylvain_Calzati,,1979-07-01,Lyon,598.5771709580398,663.9005715873272
14,2006-07-16,180.5,Montélimar,Gap,Hilly stage,Pierrick Fédrigo,FRA,2006,Pierrick_Fédrigo,,1978-11-30,Marmande,364.550327534239,470.3347428924245
