Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
1,2017-07-01,14.0,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR,2017,Geraint_Thomas,Time trial,1986-05-25,Cardiff
2,2017-07-02,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
3,2017-07-03,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK,2017,Peter_Sagan,Mountain stage,1990-01-26,Žilina
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA,2017,Arnaud_Démare,,1991-08-26,Beauvais
5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA,2017,Fabio_Aru,Mountain stage,1990-07-03,San Gavino Monreale
6,2017-07-06,216.0,Vesoul,Troyes,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
8,2017-07-08,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA,2017,Lilian_Calmejane,Mountain stage,1992-12-06,Albi
9,2017-07-09,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL,2017,Rigoberto_Urán,Mountain stage,1987-01-26,Urrao
10,2017-07-11,178.0,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
11,2017-07-12,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
12,2017-07-13,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA,2017,Romain_Bardet,Mountain stage,1990-11-09,Brioude
13,2017-07-14,101.0,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA,2017,Warren_Barguil,Mountain stage,1991-10-28,Hennebont
14,2017-07-15,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS,2017,Michael_Matthews,Mountain stage,,
15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED,2017,Bauke_Mollema,Mountain stage,1986-11-26,Groningue
16,2017-07-18,165.0,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS,2017,Michael_Matthews,Mountain stage,,
17,2017-07-19,183.0,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO,2017,Primož_Roglič,Mountain stage,1989-10-29,"Trbovlje (Trbovlje (en), République socialiste de Slovénie, République fédérative socialiste de Yougoslavie)"
18,2017-07-20,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA,2017,Warren_Barguil,Mountain stage,1991-10-28,Hennebont
19,2017-07-21,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR,2017,Edvald_Boasson_Hagen,,1987-05-17,Lillehammer
20,2017-07-22,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL,2017,Maciej_Bodnar,Time trial,1985-03-07,Oława
21,2017-07-23,103.0,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED,2017,Dylan_Groenewegen,,1993-06-21,Amsterdam
1,2016-07-02,188.0,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
2,2016-07-03,183.0,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK,2016,Peter_Sagan,,1990-01-26,Žilina
3,2016-07-04,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
4,2016-07-05,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER,2016,Marcel_Kittel,,1988-05-11,Arnstadt
5,2016-07-06,216.0,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL,2016,Greg_Van_Avermaet,Mountain stage,1985-05-17,Lokeren
6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR,2016,Steve_Cummings,Mountain stage,1981-03-19,Clatterbridge (en)
8,2016-07-09,184.0,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR,2016,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED,2016,Tom_Dumoulin,Mountain stage,1990-11-11,Maastricht
10,2016-07-12,197.0,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS,2016,Michael_Matthews,Mountain stage,,
11,2016-07-13,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK,2016,Peter_Sagan,,1990-01-26,Žilina
12,2016-07-14,178.0,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL,2016,Thomas_De_Gendt,Mountain stage,1986-11-06,Saint-Nicolas-Waes
13,2016-07-15,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial,Tom Dumoulin,NED,2016,Tom_Dumoulin,Time trial,1990-11-11,Maastricht
14,2016-07-16,208.5,Montélimar,Villars-les-Dombes,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
15,2016-07-17,160.0,Bourg-en-Bresse,Culoz,High mountain stage,Jarlinson Pantano,COL,2016,Jarlinson_Pantano,Mountain stage,1988-11-19,Cali
16,2016-07-18,209.0,Moirans-en-Montagne,Bern,Flat stage,Peter Sagan,SVK,2016,Peter_Sagan,,1990-01-26,Žilina
17,2016-07-20,184.5,Bern,Finhaut-Émosson,High mountain stage,Ilnur Zakarin,RUS,2016,Ilnur_Zakarin,Mountain stage,1989-09-15,Naberejnye Tchelny
18,2016-07-21,17.0,Sallanches,Megève,Mountain time trial,Chris Froome,GBR,2016,Chris_Froome,Time trial,1985-05-20,Nairobi (Kenya)
19,2016-07-22,146.0,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA,2016,Romain_Bardet,Mountain stage,1990-11-09,Brioude
20,2016-07-23,146.5,Megève,Morzine,High mountain stage,Ion Izagirre,ESP,2016,Ion_Izagirre,Mountain stage,1989-02-04,Ormaiztegi
21,2016-07-24,113.0,Chantilly,Paris,Flat stage,André Greipel,GER,2016,André_Greipel,,1982-07-16,Rostock
1,2015-07-04,13.8,Utrecht,Utrecht,Individual time trial,Rohan Dennis,AUS,2015,Rohan_Dennis,Time trial,1990-05-28,Adélaïde
2,2015-07-05,166.0,Utrecht,Zeeland,Flat stage,André Greipel,GER,2015,André_Greipel,,1982-07-16,Rostock
3,2015-07-06,159.5,Antwerp,Huy,Flat stage,Joaquim Rodríguez,ESP,2015,Joaquim_Rodríguez,,1979-05-12,Barcelone ou Parets del Vallès
4,2015-07-07,223.5,Seraing,Cambrai,Medium mountain stage,Tony Martin,GER,2015,Tony_Martin,Mountain stage,,
5,2015-07-08,189.5,Arras,Amiens,Flat stage,André Greipel,GER,2015,André_Greipel,,1982-07-16,Rostock
6,2015-07-09,191.5,Abbeville,Le Havre,Flat stage,Zdeněk Štybar,CZE,2015,Zdeněk_Štybar,,1985-12-11,Planá
7,2015-07-10,190.5,Livarot,Fougères,Flat stage,Mark Cavendish,GBR,2015,Mark_Cavendish,,1985-05-21,Douglas
8,2015-07-11,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA,2015,Alexis_Vuillermoz,,1988-06-01,Saint-Claude
9,2015-07-12,28.0,Vannes,Plumelec,Team time trial,BMC Racing Team,,2015,BMC_Racing_Team,Flat stage,,
10,2015-07-14,167.0,Tarbes,La Pierre Saint-Martin,High mountain stage,Chris Froome,GBR,2015,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
11,2015-07-15,188.0,Pau,Cauterets,High mountain stage,Rafał Majka,POL,2015,Rafał_Majka,Mountain stage,1989-09-12,Zegartowice
12,2015-07-16,195.0,Lannemezan,Plateau de Beille,High mountain stage,Joaquim Rodríguez,ESP,2015,Joaquim_Rodríguez,Mountain stage,1979-05-12,Barcelone ou Parets del Vallès
13,2015-07-17,198.5,Muret,Rodez,Medium mountain stage,Greg Van Avermaet,BEL,2015,Greg_Van_Avermaet,Mountain stage,1985-05-17,Lokeren
14,2015-07-18,178.5,Rodez,Mende,Medium mountain stage,Steve Cummings,GBR,2015,Steve_Cummings,Mountain stage,1981-03-19,Clatterbridge (en)
15,2015-07-19,183.0,Mende,Valence,Medium mountain stage,André Greipel,GER,2015,André_Greipel,Mountain stage,1982-07-16,Rostock
16,2015-07-20,201.0,Bourg-de-Péage,Gap,Medium mountain stage,Rubén Plaza Molina,ESP,2015,Rubén_Plaza_Molina,Mountain stage,,
17,2015-07-22,161.0,Digne-les-Bains,Pra-Loup,High mountain stage,Simon Geschke,GER,2015,Simon_Geschke,Mountain stage,1986-03-13,Berlin
18,2015-07-23,186.5,Gap,Saint-Jean-de-Maurienne,High mountain stage,Romain Bardet,FRA,2015,Romain_Bardet,Mountain stage,1990-11-09,Brioude
19,2015-07-24,138.0,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,High mountain stage,Vincenzo Nibali,ITA,2015,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
20,2015-07-25,110.5,Modane,Alpe d'Huez,High mountain stage,Thibaut Pinot,FRA,2015,Thibaut_Pinot,Mountain stage,1990-05-29,Lure
21,2015-07-26,109.5,Sèvres,Paris,Flat stage,André Greipel,GER,2015,André_Greipel,,1982-07-16,Rostock
1,2014-07-05,190.5,Leeds,Harrogate,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
2,2014-07-06,201.0,York,Sheffield,Medium mountain stage,Vincenzo Nibali,ITA,2014,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
3,2014-07-07,155.0,Cambridge,London,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
4,2014-07-08,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
5,2014-07-09,152.5,Ypres,Arenberg Porte du Hainaut,Medium mountain stage,Lars Boom,NED,2014,Lars_Boom,Mountain stage,1985-12-30,Vlijmen
6,2014-07-10,194.0,Arras,Reims,Flat stage,André Greipel,GER,2014,André_Greipel,,1982-07-16,Rostock
7,2014-07-11,234.5,Épernay,Nancy,Flat stage,Matteo Trentin,ITA,2014,Matteo_Trentin,,1989-08-02,Borgo Valsugana
8,2014-07-12,161.0,Tomblaine,Gérardmer La Mauselaine,Medium mountain stage,Blel Kadri,FRA,2014,Blel_Kadri,Mountain stage,1986-09-03,Bordeaux
9,2014-07-13,170.0,Gérardmer,Mulhouse,Medium mountain stage,Tony Martin,GER,2014,Tony_Martin,Mountain stage,,
10,2014-07-14,161.5,Mulhouse,La Planche des Belles Filles,High mountain stage,Vincenzo Nibali,ITA,2014,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
11,2014-07-16,187.5,Besançon,Oyonnax,Medium mountain stage,Tony Gallopin,FRA,2014,Tony_Gallopin,Mountain stage,1988-05-24,Dourdan
12,2014-07-17,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage,Alexander Kristoff,NOR,2014,Alexander_Kristoff,,1987-07-05,Stavanger
